"No.","Time","Source","Destination","Protocol","Length","Info"
"1240","9.607870953","192.168.126.128","10.136.28.34","TCP","54","58095  >  9943 [FIN] Seq=1 Win=1024 Len=0"
"1241","9.608098530","192.168.126.128","10.136.28.34","TCP","54","58095  >  7800 [FIN] Seq=1 Win=1024 Len=0"
"1242","9.608324294","192.168.126.128","10.136.28.34","TCP","54","58095  >  1090 [FIN] Seq=1 Win=1024 Len=0"
"1243","9.610793349","192.168.126.128","10.136.28.34","TCP","54","58096  >  49154 [FIN] Seq=1 Win=1024 Len=0"
"1244","9.610931338","192.168.126.128","10.136.28.34","TCP","54","58095  >  1166 [FIN] Seq=1 Win=1024 Len=0"
"1245","9.611049710","192.168.126.128","10.136.28.34","TCP","54","58095  >  6059 [FIN] Seq=1 Win=1024 Len=0"
"1246","9.611161960","192.168.126.128","10.136.28.34","TCP","54","58095  >  49153 [FIN] Seq=1 Win=1024 Len=0"
"1247","9.611288878","192.168.126.128","10.136.28.34","TCP","54","58095  >  18101 [FIN] Seq=1 Win=1024 Len=0"
"1248","9.611492741","192.168.126.128","10.136.28.34","TCP","54","58095  >  2003 [FIN] Seq=1 Win=1024 Len=0"
"1249","9.614241666","192.168.126.128","10.136.28.34","TCP","54","58095  >  3914 [FIN] Seq=1 Win=1024 Len=0"
"1250","9.614383391","192.168.126.128","10.136.28.34","TCP","54","58095  >  8994 [FIN] Seq=1 Win=1024 Len=0"
"1251","9.614503977","192.168.126.128","10.136.28.34","TCP","54","58095  >  9011 [FIN] Seq=1 Win=1024 Len=0"
"1252","9.616959978","192.168.126.128","10.136.28.34","TCP","54","58095  >  990 [FIN] Seq=1 Win=1024 Len=0"
"1253","9.617216469","192.168.126.128","10.136.28.34","TCP","54","58095  >  1034 [FIN] Seq=1 Win=1024 Len=0"
"1254","9.617447983","192.168.126.128","10.136.28.34","TCP","54","58095  >  1007 [FIN] Seq=1 Win=1024 Len=0"
"1255","9.617590049","192.168.126.128","10.136.28.34","TCP","54","58095  >  10616 [FIN] Seq=1 Win=1024 Len=0"
"1256","9.617695287","192.168.126.128","10.136.28.34","TCP","54","58095  >  64680 [FIN] Seq=1 Win=1024 Len=0"
