"No.","Time","Source","Destination","Protocol","Length","Info"
"2076","84.581541544","192.168.126.128","10.136.28.34","UDP","42","33743  >  3343 Len=0"
"2077","84.581568024","192.168.126.128","10.136.28.34","UDP","42","33743  >  20465 Len=0"
"2078","84.581595326","192.168.126.128","10.136.28.34","UDP","42","33743  >  19600 Len=0"
"2079","84.581621725","192.168.126.128","10.136.28.34","UDP","42","33743  >  199 Len=0"
"2080","84.581647755","192.168.126.128","10.136.28.34","UDP","42","33743  >  49178 Len=0"
"2081","84.581673674","192.168.126.128","10.136.28.34","UDP","42","33743  >  20082 Len=0"
"2082","84.581700073","192.168.126.128","10.136.28.34","UDP","42","33743  >  25003 Len=0"
"2083","84.581726062","192.168.126.128","10.136.28.34","UDP","42","33743  >  28543 Len=0"
"2084","84.584423924","192.168.126.128","10.136.28.34","UDP","42","33743  >  1718 Len=0"
"2085","84.584484929","192.168.126.128","10.136.28.34","UDP","42","33743  >  445 Len=0"
"2086","84.584512762","192.168.126.128","10.136.28.34","UDP","42","33743  >  21800 Len=0"
"2087","84.584540013","192.168.126.128","10.136.28.34","UDP","42","33743  >  16972 Len=0"
"2088","84.584568867","192.168.126.128","10.136.28.34","UDP","42","33743  >  17888 Len=0"
"2089","84.584598373","192.168.126.128","10.136.28.34","UDP","42","33743  >  3659 Len=0"
"2090","84.584624532","192.168.126.128","10.136.28.34","UDP","42","33743  >  16816 Len=0"
"2091","84.584651784","192.168.126.128","10.136.28.34","UDP","42","33743  >  34555 Len=0"
"2092","84.584678945","192.168.126.128","10.136.28.34","UDP","42","33743  >  6346 Len=0"
"2093","84.584706126","192.168.126.128","10.136.28.34","UDP","42","33743  >  23 Len=0"
"2094","84.584739990","192.168.126.128","10.136.28.34","UDP","42","33743  >  20146 Len=0"
"2095","84.584776369","192.168.126.128","10.136.28.34","UDP","42","33743  >  800 Len=0"
"2096","84.584814441","192.168.126.128","10.136.28.34","UDP","42","33743  >  838 Len=0"
"2097","84.584856560","192.168.126.128","10.136.28.34","UDP","42","33743  >  17282 Len=0"
"2098","84.587507914","192.168.126.128","10.136.28.34","UDP","42","33743  >  32345 Len=0"
"2099","84.587596030","192.168.126.128","10.136.28.34","UDP","42","33743  >  17459 Len=0"
"2100","84.587653438","192.168.126.128","10.136.28.34","UDP","42","33743  >  20423 Len=0"
"2101","84.587710115","192.168.126.128","10.136.28.34","UDP","42","33743  >  1030 Len=0"
"2102","84.587766111","192.168.126.128","10.136.28.34","UDP","42","33743  >  22109 Len=0"
"2103","84.587822968","192.168.126.128","10.136.28.34","UDP","42","33743  >  6001 Len=0"
"2104","84.587880567","192.168.126.128","10.136.28.34","UDP","42","33743  >  49176 Len=0"
"2105","84.587937284","192.168.126.128","10.136.28.34","UDP","42","33743  >  9001 Len=0"
"2106","84.587994853","192.168.126.128","10.136.28.34","UDP","42","33743  >  2002 Len=0"
"2107","84.588051850","192.168.126.128","10.136.28.34","UDP","42","33743  >  19616 Len=0"
"2108","84.588108297","192.168.126.128","10.136.28.34","UDP","42","33743  >  19140 Len=0"
"2109","84.590675201","192.168.126.128","10.136.28.34","UDP","42","33743  >  37843 Len=0"
"2110","84.590722680","192.168.126.128","10.136.28.34","UDP","42","33743  >  31189 Len=0"
"2111","84.590749671","192.168.126.128","10.136.28.34","UDP","42","33743  >  21303 Len=0"
"2112","84.590779227","192.168.126.128","10.136.28.34","UDP","42","33743  >  32768 Len=0"
"2113","84.590805517","192.168.126.128","10.136.28.34","UDP","42","33743  >  31731 Len=0"
"2118","84.678424352","192.168.126.128","10.136.28.34","UDP","42","33742  >  21948 Len=0"
"2119","84.678490958","192.168.126.128","10.136.28.34","UDP","42","33742  >  19695 Len=0"
"2120","84.678519602","192.168.126.128","10.136.28.34","UDP","42","33742  >  49210 Len=0"
"2121","84.678545762","192.168.126.128","10.136.28.34","UDP","42","33742  >  17673 Len=0"
"2122","84.678573374","192.168.126.128","10.136.28.34","UDP","42","33742  >  1434 Len=0"
"2123","84.678600525","192.168.126.128","10.136.28.34","UDP","42","33742  >  22029 Len=0"
"2124","84.678627265","192.168.126.128","10.136.28.34","UDP","42","33742  >  19639 Len=0"
"2125","84.682331719","192.168.126.128","10.136.28.34","UDP","42","33742  >  48078 Len=0"
"2126","84.682387915","192.168.126.128","10.136.28.34","UDP","42","33742  >  22996 Len=0"
"2127","84.682414916","192.168.126.128","10.136.28.34","UDP","42","33742  >  49175 Len=0"
"2128","84.682441216","192.168.126.128","10.136.28.34","UDP","42","33742  >  16498 Len=0"
"2129","84.682467245","192.168.126.128","10.136.28.34","UDP","42","33742  >  20389 Len=0"
"2130","84.682495478","192.168.126.128","10.136.28.34","UDP","42","33742  >  41638 Len=0"
"2131","84.682521587","192.168.126.128","10.136.28.34","UDP","42","33742  >  30656 Len=0"
"2132","84.682548488","192.168.126.128","10.136.28.34","UDP","42","33742  >  19222 Len=0"
"2133","84.682576441","192.168.126.128","10.136.28.34","UDP","42","33742  >  1036 Len=0"
"2134","84.682602951","192.168.126.128","10.136.28.34","UDP","42","33742  >  21710 Len=0"
"2135","84.682629541","192.168.126.128","10.136.28.34","UDP","42","33742  >  20710 Len=0"
"2136","84.682656542","192.168.126.128","10.136.28.34","UDP","42","33742  >  31109 Len=0"
"2137","84.684933468","192.168.126.128","10.136.28.34","UDP","42","33742  >  17207 Len=0"
"2138","84.684992790","192.168.126.128","10.136.28.34","UDP","42","33742  >  49350 Len=0"
"2139","84.685019861","192.168.126.128","10.136.28.34","UDP","42","33742  >  20380 Len=0"
"2140","84.685046011","192.168.126.128","10.136.28.34","UDP","42","33742  >  21261 Len=0"
"2141","84.685073863","192.168.126.128","10.136.28.34","UDP","42","33742  >  19482 Len=0"
"2142","84.685099872","192.168.126.128","10.136.28.34","UDP","42","33742  >  17219 Len=0"
"2143","84.685125911","192.168.126.128","10.136.28.34","UDP","42","33742  >  21167 Len=0"
"2144","84.685153564","192.168.126.128","10.136.28.34","UDP","42","33742  >  49222 Len=0"
"2145","84.685181066","192.168.126.128","10.136.28.34","UDP","42","33742  >  19719 Len=0"
"2146","84.685207586","192.168.126.128","10.136.28.34","UDP","42","33742  >  23176 Len=0"
"2147","84.685262209","192.168.126.128","10.136.28.34","UDP","42","33742  >  61685 Len=0"
"2148","84.685289039","192.168.126.128","10.136.28.34","UDP","42","33742  >  19792 Len=0"
"2149","84.685314798","192.168.126.128","10.136.28.34","UDP","42","33742  >  18958 Len=0"
"2150","84.685340717","192.168.126.128","10.136.28.34","UDP","42","33742  >  30975 Len=0"
"2151","84.687888846","192.168.126.128","10.136.28.34","UDP","42","33742  >  64513 Len=0"
"2152","84.687952276","192.168.126.128","10.136.28.34","UDP","42","33742  >  1055 Len=0"
"2153","84.687979067","192.168.126.128","10.136.28.34","UDP","42","33742  >  16938 Len=0"
"2154","84.688005507","192.168.126.128","10.136.28.34","UDP","42","33742  >  63555 Len=0"
"2155","84.688031416","192.168.126.128","10.136.28.34","UDP","42","33742  >  19998 Len=0"
"2156","84.688057415","192.168.126.128","10.136.28.34","UDP","42","33742  >  17468 Len=0"
"2157","84.690272796","192.168.126.128","10.136.28.34","UDP","56","33742  >  80 Len=14"
"2158","84.690332358","192.168.126.128","10.136.28.34","UDP","42","33742  >  17184 Len=0"
"2159","84.690359389","192.168.126.128","10.136.28.34","UDP","42","33742  >  26415 Len=0"
"2160","84.690385689","192.168.126.128","10.136.28.34","UDP","42","33742  >  53037 Len=0"
"2161","84.690412018","192.168.126.128","10.136.28.34","UDP","42","33742  >  593 Len=0"
"2162","84.692951756","192.168.126.128","10.136.28.34","UDP","42","33742  >  24644 Len=0"
"2163","84.693051775","192.168.126.128","10.136.28.34","UDP","42","33742  >  47981 Len=0"
"2164","84.693087693","192.168.126.128","10.136.28.34","UDP","42","33742  >  2343 Len=0"
"2165","84.693119282","192.168.126.128","10.136.28.34","UDP","42","33742  >  1050 Len=0"
"2166","84.693151163","192.168.126.128","10.136.28.34","UDP","42","33742  >  20679 Len=0"
"2167","84.779083677","192.168.126.128","10.136.28.34","UDP","42","33743  >  19639 Len=0"
"2168","84.779149140","192.168.126.128","10.136.28.34","UDP","42","33743  >  22029 Len=0"
"2169","84.779176853","192.168.126.128","10.136.28.34","UDP","42","33743  >  1434 Len=0"
"2170","84.779204785","192.168.126.128","10.136.28.34","UDP","42","33743  >  17673 Len=0"
"2171","84.779231877","192.168.126.128","10.136.28.34","UDP","42","33743  >  49210 Len=0"
